theta,phi,areaA,areaB,areaI
0.20379297,2.1640701,0.12362671,0.12361145,0.09357834
0.20457812,6.0472794,0.123111725,0.123119354,0.10536957
0.20536031,3.647303,0.12327194,0.12327957,0.10084534
0.20613956,1.2473574,0.123622894,0.12363815,0.09126282
0.20691565,5.130597,0.123607635,0.12358093,0.09158707
0.20768915,2.7306514,0.12317276,0.12310028,0.102573395
0.20845982,0.3306446,0.12306595,0.12307358,0.104026794
0.20922743,4.2138844,0.12353134,0.1235199,0.09179306
0.20999254,1.8139386,0.12355423,0.1235466,0.09039688
0.21075492,5.6971173,0.123226166,0.12321091,0.09850311
0.21151431,3.2971716,0.122917175,0.12292099,0.10549545
0.2122713,0.89722586,0.12340927,0.12340164,0.09318924
0.21302564,4.7804656,0.12347412,0.123485565,0.09008026
0.21377708,2.3804588,0.12332153,0.12329483,0.09496689
0.21452622,6.2636986,0.12276077,0.122745514,0.10681534
0.21527278,3.8637528,0.12322998,0.12324524,0.095386505
0.21601653,1.4637461,0.123435974,0.123348236,0.089458466
0.21675803,5.346986,0.12333679,0.12333298,0.091999054
0.21749705,2.94704,0.12279892,0.122787476,0.10443878
0.21823333,0.54709435,0.123031616,0.1230278,0.098342896
0.21896745,4.430273,0.123363495,0.12336731,0.08893204
0.21969916,2.0303273,0.12330246,0.12331772,0.08977127
0.22042821,5.913567,0.12279892,0.122810364,0.10212326
0.22115517,3.5135603,0.12277603,0.12277222,0.101932526
0.22187977,1.1136146,0.12327576,0.12327576,0.089328766
0.22260205,4.9968543,0.123298645,0.12329483,0.088272095
0.22332178,2.5969086,0.12290573,0.122909546,0.0977211
0.2240395,0.1969018,0.12264252,0.12265396,0.10373306
0.22475496,4.0801415,0.123168945,0.12318802,0.09069443
0.22546792,1.6801958,0.12321854,0.12322235,0.08779907
0.22617894,5.5633745,0.12302017,0.12302017,0.093891144
0.22688778,3.1634288,0.12246704,0.12247467,0.10555267
0.22759418,0.76348305,0.12299347,0.12297821,0.09289932
0.2282987,4.646723,0.12313461,0.12313843,0.08746338
0.22900108,2.246716,0.12304306,0.123039246,0.09062958
0.22970109,6.129956,0.122478485,0.122470856,0.103645325
0.23039927,3.73001,0.12277603,0.122779846,0.0958519
0.23109537,1.3300033,0.123104095,0.12310791,0.08676529
0.23178917,5.213243,0.123046875,0.123039246,0.08810806
0.2324812,2.8132973,0.12249756,0.122493744,0.10140228
0.2331712,0.41335154,0.122615814,0.12264252,0.09962845
0.23385896,4.2965302,0.12302017,0.12302399,0.08704376
0.23454498,1.8965845,0.1230278,0.12302017,0.086429596
0.23522905,5.7798243,0.1225853,0.12259674,0.09713745
0.2359109,3.3798175,0.12232971,0.12233353,0.101940155
0.23659109,0.97987175,0.1228981,0.12290192,0.08829498
0.23726936,4.8631115,0.12294388,0.12295532,0.085674286
0.23794548,2.4631658,0.12266922,0.122665405,0.09296799
0.23861998,0.06315899,0.12218857,0.12220001,0.10385513
0.2392926,3.9463987,0.12270355,0.122730255,0.0904274
0.2399634,1.546453,0.12288284,0.1228981,0.0856781
0.24063209,5.4296317,0.12273407,0.12273407,0.08943939
0.24129921,3.029686,0.122154236,0.12215805,0.10295105
0.24196455,0.62974024,0.122543335,0.12254715,0.093372345
0.24262783,4.51298,0.12281799,0.122810364,0.08470917
0.24328959,2.1129732,0.12274933,0.122737885,0.08663559
0.24394959,5.996213,0.12216568,0.12214279,0.10052872
0.24460761,3.5962672,0.122291565,0.122291565,0.09716797
0.24526414,1.1962605,0.12276459,0.12275314,0.084861755
0.24591894,5.0795,0.1227417,0.12273407,0.08467865
0.24657181,2.6795545,0.12223816,0.122241974,0.09669876
0.24722323,0.27960873,0.12208176,0.12207031,0.1002655
0.24787296,4.1627874,0.12264633,0.12264633,0.08597946
0.24852079,1.7628417,0.12268448,0.122680664,0.08372116
0.24916722,5.6460814,0.122356415,0.122356415,0.0922699
0.249812,3.2460747,0.12191391,0.12189865,0.102142334
0.25045493,0.84612894,0.122493744,0.12250519,0.088092804
0.2510965,4.7293687,0.122558594,0.12256241,0.08377075
0.25173643,2.329423,0.12244034,0.12242508,0.08842468
0.25237456,6.2126017,0.12181091,0.1218338,0.10233688
0.25301135,3.812656,0.12229538,0.122291565,0.090991974
0.25364655,1.4127102,0.12254715,0.122558594,0.082847595
0.2542802,5.295889,0.12246323,0.122470856,0.08537674
0.2549121,2.8959432,0.12184906,0.12184143,0.09983444
0.2555427,0.49599743,0.12202835,0.122032166,0.09473419
0.2561718,4.379237,0.122413635,0.122421265,0.082660675
0.25679913,1.9792304,0.12246323,0.122470856,0.08312607
0.2574252,5.86247,0.121902466,0.12188721,0.09645462
0.2580498,3.4625244,0.121772766,0.12181473,0.09858322
0.25867268,1.0625176,0.12237549,0.12239075,0.083717346
0.25929433,4.9457574,0.12239838,0.12240219,0.08188629
0.25991452,2.5458117,0.122032166,0.12202072,0.09173584
0.26053306,0.14586592,0.12164688,0.12163925,0.10051346
0.26115036,4.0290446,0.122234344,0.122241974,0.085739136
0.26176628,1.6290989,0.122306824,0.122291565,0.08174515
0.26238054,5.5123386,0.122219086,0.122226715,0.08778
0.26299363,3.1123319,0.12148285,0.12148285,0.10181427
0.26360533,0.71238613,0.12205887,0.122039795,0.088645935
0.2642154,4.595626,0.12225723,0.12224579,0.08110809
0.26482433,2.1956801,0.12215805,0.12216568,0.08424759
0.2654319,6.078859,0.12147522,0.12149048,0.09918594
0.26603788,3.678913,0.12178421,0.12179184,0.09233093
0.26664278,1.2789674,0.12221527,0.12220383,0.080783844
0.2672463,5.162146,0.122234344,0.122161865,0.08169937
0.26784828,2.7622004,0.12156296,0.12155914,0.09637451
0.2684492,0.36225462,0.121479034,0.12149429,0.09671402
0.26904875,4.2454944,0.122104645,0.1221199,0.0815773
0.26964682,1.8454876,0.12213898,0.12213516,0.08021164
0.2702438,5.7287273,0.12166977,0.121665955,0.09132767
0.2708395,3.3287816,0.12134552,0.121349335,0.09884262
0.27143395,0.92877483,0.12197113,0.12198639,0.083480835
0.27202687,4.8120146,0.12204361,0.122047424,0.07983017
0.27261877,2.4120688,0.121780396,0.121788025,0.08695984
0.27320942,0.012123108,0.12121582,0.1211586,0.10097504
0.2737986,3.8953018,0.12175369,0.12176514,0.08628082
0.2743868,1.4953561,0.12195969,0.1219635,0.07948303
0.27497375,5.378596,0.121852875,0.121852875,0.0832901
0.27555928,2.978589,0.12119675,0.1211853,0.09864807
0.2761438,0.5786433,0.12154007,0.1215477,0.089962006
0.2767271,4.461883,0.1219368,0.12193298,0.07892609
0.277309,2.0619373,0.12186432,0.12187576,0.080444336
0.27788994,5.945116,0.12121582,0.121219635,0.09609985
0.2784697,3.5451703,0.121219635,0.12121582,0.09435654
0.27904806,1.1452246,0.121845245,0.121837616,0.079509735
0.27962548,5.0284033,0.12186813,0.121845245,0.07866287
0.28020173,2.6284575,0.12133026,0.12134552,0.091114044
0.28077662,0.22851181,0.12105942,0.12106323,0.09719467
0.28135058,4.1117516,0.12171173,0.121707916,0.08123779
