theta,phi,areaA,areaB,areaI
0.860951,2.7542286,0.084293365,0.084293365,0.02009964
0.86097187,0.3538556,0.084106445,0.084106445,0.02154541
0.86099297,4.236668,0.08595657,0.08596039,4.386902E-4
0.8610139,1.8362951,0.0860405,0.08603287,0.0
0.8610349,5.7191076,0.084877014,0.0848732,0.012584686
0.86105585,3.3187346,0.083911896,0.08390808,0.026504517
0.8610769,0.91836166,0.085674286,0.0856781,0.0030326843
0.86109775,4.801174,0.08595657,0.08595657,0.0
0.86111885,2.4008012,0.085392,0.085315704,0.006755829
0.8611397,4.2819977E-4,0.08348465,0.083423615,0.0275383
0.8611608,3.8910532,0.08538818,0.08538437,0.0065460205
0.8611817,1.4906802,0.085948944,0.08595657,0.0
0.8612028,5.3734927,0.08568573,0.085681915,0.0032081604
0.86122364,2.9731197,0.08388519,0.08389282,0.026638031
0.86124474,0.57274675,0.08492279,0.08491135,0.012229919
0.8612656,4.4555593,0.08602905,0.08602524,0.0
0.86128664,2.0551863,0.08591461,0.085941315,5.760193E-4
0.86130756,5.937999,0.08412552,0.08414078,0.021823883
0.8613286,3.5376258,0.08428955,0.084293365,0.019691467
0.8613496,1.1372528,0.08597183,0.08595276,0.0
0.86137056,5.0200653,0.086013794,0.0860405,0.0
0.86139154,2.6196923,0.08469391,0.08470535,0.014240265
0.8614125,0.21931934,0.0838089,0.083854675,0.02552414
0.8614335,4.102132,0.08577728,0.08575821,0.0023498535
0.8614545,1.7017589,0.08597183,0.08597565,0.0
0.8614754,5.5845714,0.08522415,0.085243225,0.007900238
0.8614964,3.1841984,0.08358383,0.0835495,0.027519226
0.86151737,0.7838254,0.08541489,0.0854187,0.0056877136
0.86153835,4.666638,0.08587265,0.085876465,0.0
0.86155933,2.266265,0.085624695,0.08560181,0.0037841797
0.8615803,6.15689,0.08377075,0.08377838,0.027122498
0.8616013,3.756517,0.0849762,0.0849762,0.010623932
0.8616222,1.356144,0.08597946,0.08597183,0.0
0.8616432,5.2389565,0.08583069,0.08584976,0.001121521
0.8616642,2.8385835,0.08402252,0.08402252,0.023303986
0.86168516,0.4382105,0.08440399,0.08440018,0.01782608
0.86170614,4.321023,0.08596039,0.08596802,0.0
0.86172706,1.92065,0.08602905,0.08601761,0.0
0.86174804,5.8034625,0.08451843,0.08451843,0.0160141
0.861769,3.4030895,0.0839653,0.08397293,0.024559021
0.86179,1.0027165,0.08580017,0.085796356,0.001701355
0.861811,4.885529,0.085948944,0.08594513,0.0
0.8618319,2.485156,0.08501434,0.08501816,0.0091362
0.86185294,0.08478308,0.08367157,0.083660126,0.02741623
0.86187387,3.9675956,0.08544159,0.08542633,0.0046920776
0.8618949,1.5672226,0.08567047,0.08567047,0.0
0.86191577,5.450035,0.08546829,0.08547592,0.004573822
0.8619368,3.049662,0.08364487,0.08364105,0.02734375
0.8619577,0.64928913,0.08502197,0.08502579,0.009403229
0.86197877,4.539914,0.085941315,0.085941315,0.0
0.86199963,2.1395411,0.085754395,0.085762024,0.0016975403
0.8620207,6.0223536,0.08394241,0.08394623,0.024543762
0.8620416,3.6219807,0.084472656,0.0844841,0.01594925
0.86206263,1.2216077,0.08598709,0.08596039,0.0
0.8620835,5.10442,0.085941315,0.0859375,0.0
0.86210454,2.7040472,0.08436966,0.08436966,0.017810822
0.8621254,0.30367422,0.08400345,0.08399582,0.023235321
0.86214644,4.1864867,0.085819244,0.085796356,0.0010795593
0.86216736,1.7861137,0.08596039,0.0859642,0.0
0.8621884,5.6689262,0.08488464,0.08490753,0.010543823
0.86220926,3.2685533,0.083717346,0.08371353,0.027042389
0.8622303,0.8681803,0.08551788,0.08552933,0.0038642883
0.86225116,4.750993,0.08581543,0.085811615,0.0
0.8622722,2.3506198,0.08535004,0.08536148,0.0054512024
0.8622931,6.2334323,0.08358383,0.08358002,0.027450562
0.86231416,3.8330593,0.0851326,0.08511734,0.008014679
0.8623351,1.4326863,0.08588791,0.085884094,0.0
0.86235607,5.315499,0.0856781,0.08568573,0.0021743774
0.862377,2.9229383,0.08375168,0.083740234,0.025447845
0.86239797,0.52256536,0.0846138,0.084609985,0.01411438
0.86241895,4.405378,0.08592987,0.08592987,0.0
0.8624399,2.005005,0.085876465,0.085876465,0.0
0.86246085,5.8878174,0.08415985,0.08415222,0.019569397
0.8624818,3.4874444,0.08403015,0.08402252,0.021656036
0.86250275,1.0870714,0.08580017,0.08579254,5.0735474E-4
0.8625237,4.969884,0.08591843,0.0859108,0.0
0.86254466,2.569511,0.084804535,0.08480072,0.012088776
0.8625656,0.16913795,0.08376694,0.08376312,0.026462555
0.86258656,4.0519505,0.085567474,0.085567474,0.003063202
0.86260754,1.6515775,0.08584595,0.08584595,0.0
0.86262846,5.53439,0.08526611,0.08526611,0.0064353943
0.86264944,3.134017,0.083530426,0.08352661,0.027435303
0.86267036,0.733644,0.08518219,0.08518982,0.00680542
0.86269134,4.6164565,0.085811615,0.085803986,0.0
0.86271226,2.2160835,0.08556366,0.08556366,0.0028190613
